x,y
-231.15377807617188,84.52922821044916
-227.7579956054687,82.83412933349615
-224.3931121826172,81.07853698730469
-221.06029510498047,79.2628173828125
-217.76151275634766,77.38591766357416
-214.4984588623047,75.44774627685541
-211.27383422851562,73.44587707519531
-208.09038543701172,71.37909698486334
-204.9524383544922,69.2442245483399
-201.86376953125,67.03881072998053
-198.82989501953125,64.75830078125
-195.85710906982422,62.399055480956974
-192.9527816772461,59.95603942871094
-190.12682342529297,57.422637939453125
-187.38980865478516,54.79351806640625
-184.7503890991211,52.06609344482416
-182.10419464111328,49.34528350830084
-179.46138763427734,46.62110900878906
-176.8270034790039,43.88910675048834
-174.21614837646484,41.13442230224615
-171.6791534423828,38.311920166015625
-169.27589416503906,35.374473571777344
-166.91053771972656,32.406288146972656
-164.52293395996094,29.455818176269474
-162.11363220214844,26.523063659668026
-159.68707275390625,23.604705810546932
-157.2666473388672,20.681678771972656
-154.89208984375,17.720748901367244
-152.4856719970703,14.785888671875
-150.05027770996094,11.8748779296875
-147.5823364257812,8.991127014160128
-145.0786895751953,6.13866424560544
-142.5328826904297,3.3238525390625
-139.93507385253906,0.5567626953125
-137.2696990966797,-2.1450042724609375
-134.510025024414,-4.7502288818359375
-131.60299682617182,-7.188850402832003
-128.41146850585938,-9.229881286621094
-124.70591735839844,-9.743606567382784
-121.41093444824219,-8.058258056640625
-120.39410400390625,-4.482528686523466
-121.07749938964844,-0.7613449096679972
-122.45903015136719,2.770782470703125
-124.193359375,6.145690917968778
-126.1419677734375,9.402244567871094
-128.2364654541015,12.5670166015625
-130.43748474121094,15.659118652343693
-132.5755615234375,18.79466247558588
-134.69798278808594,21.941192626953125
-136.8203582763672,25.087722778320312
-138.94273376464844,28.234230041503906
-141.0651092529297,31.38076019287115
-143.18753051757812,34.52729034423828
-145.30999755859375,37.673957824706974
-147.432373046875,40.82048797607416
-149.55479431152344,43.96701812744146
-151.6771697998047,47.113525390625
-153.79954528808594,50.26005554199219
-155.9219207763672,53.406585693359375
-158.04429626464844,56.55311584472656
-157.42169189453125,57.2983779907226
-154.5587921142578,54.80757141113281
-151.8037872314453,52.197174072265625
-149.09300231933594,49.540840148925724
-146.40744018554688,46.85894012451166
-143.7387237548828,44.1600341796875
-141.0823211669922,41.44920349121094
-138.43447875976562,38.7300186157226
-135.79299926757812,36.00474548339838
-133.156509399414,33.27418518066406
-130.52450561523438,30.53977966308588
-127.894790649414,27.803062438964844
-125.26654052734375,25.064880371093693
-122.63916015625,22.32587432861328
-120.01173400878906,19.5869140625
-117.38330078125,16.848800659179744
-114.75321960449219,14.112174987792969
-112.11997985839844,11.378822326660128
-109.48129272460943,8.650985717773438
-106.83560180664062,5.929534912109375
-104.1103515625,3.288604736328125
-101.2584838867187,0.7847518920898438
-98.28585815429693,-1.57421875
-95.19476318359375,-3.7757873535155966
-91.983642578125,-5.798553466796875
-88.64823913574219,-7.607864379882784
-85.17893981933594,-9.143592834472656
-81.56416320800781,-10.291915893554688
-77.811782836914,-10.804817199707031
-74.12326049804688,-10.074272155761719
-71.62368774414062,-7.334007263183594
-71.07725524902344,-3.6058883666991903
-71.62066650390625,0.14461517333984375
-72.76603698730469,3.7607421875
-74.20817565917969,7.270484924316406
-75.88088989257812,10.676727294921847
-77.74252319335938,13.983795166015625
-79.75782775878906,17.1995849609375
-81.89700317382812,20.334442138671818
-84.13505554199219,23.39960479736328
-86.45111083984375,26.40656280517578
-88.82754516601562,29.36591339111328
-91.2476959228515,32.289443969726506
-93.69810485839844,35.187751770019474
-96.16682434082031,38.070564270019474
-98.63984680175781,40.9496231079101
-101.1070556640625,43.833831787109375
-103.5562744140625,46.73348999023443
-105.97308349609375,49.65976715087896
-108.3450317382812,52.622802734375
-110.65504455566406,55.634040832519474
-112.39926147460943,57.96092224121094
-109.90641784667969,55.10005950927729
-107.32820129394531,52.31468200683594
-104.72183227539062,49.55585479736334
-102.09738159179693,46.81364440917969
-99.45933532714844,44.08505249023443
-96.80961608886719,41.36776733398443
-94.14950561523438,38.660369873046875
-91.47886657714844,35.963546752929744
-88.79788208007812,33.27704620361328
-86.10691833496094,30.60063934326172
-83.4049224853515,27.935333251953125
-80.69161987304688,25.28105926513672
-77.96678161621094,22.63898468017578
